num;res
1;Победа белых
2;Победа белых
3;Победа белых
4;Победа черных
5;Победа белых
6;Победа черных
7;Победа белых
8;Победа белых
9;Победа белых
10;Победа черных
11;Победа черных
12;Победа черных
13;Победа черных
